,Artist_followers,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Explicit_false,Explicit_true,album,compilation,single,bolero,boy band,country,dance/electronic,else,funk,hip hop,house,indie,jazz,k-pop,latin,metal,opm,pop,r&b/soul,rap,reggae,reggaeton,rock,trap,Top50_dummy
23,1283811.0,1.0,1.0,0.763,0.671,1.0,-4.029,0.0,0.1,0.401,1.16e-05,0.375,0.602,120.06,197495.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,18673543.0,1.0,1.0,0.735,0.514,7.0,-5.464,1.0,0.082,0.109,0.0,0.359,0.517,77.566,194440.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,2531210.0,1.0,1.0,0.483,0.787,8.0,-5.244,1.0,0.102,0.112,0.0,0.257,0.58,122.058,191379.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,4300741.0,1.0,1.0,0.598,0.71,0.0,-6.839,0.0,0.0272,0.0476,1.77e-05,0.1,0.726,97.976,274294.0,4.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,5045736.0,2.0,22.0,0.606,0.655,6.0,-6.328,1.0,0.402,0.139,0.0,0.103,0.696,159.824,236686.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28,5502398.0,9.0,21.0,0.817,0.509,5.0,-7.287,1.0,0.0316,0.547,4.28e-06,0.0758,0.551,110.014,244601.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,4447390.0,5.0,19.0,0.917,0.392,10.0,-5.108,0.0,0.315,0.16,0.000156,0.104,0.544,131.514,160907.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,10097733.0,5.0,11.0,0.271,0.948,1.0,-2.207,1.0,0.263,0.0467,0.0,0.163,0.515,83.19,186600.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
31,29173640.0,10.0,18.0,0.797,0.55,9.0,-4.166,1.0,0.24,0.513,0.0,0.0786,0.543,134.206,206267.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,5344593.0,2.0,10.0,0.729,0.675,2.0,-5.62,0.0,0.0415,0.53,0.0,0.0985,0.332,116.016,214667.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
